"Food spots near 1 Civic/BCI, Woodbine MS, and 140 Borough; some are takeout spots, some are sit-down restaurants, and some may be just for taking some snacks into the office! 😊

Managed by Kevin :)",,,,
,,,,
Title,Note,URL,Tags,Comment
,,,,
Gus Tacos,"popular toronto tacos chain that also does burritos, tortas, and quesadillas. haven't been to this location, but others have always been pretty good! (ETOBICOKE)",https://www.google.com/maps/place/Gus+Tacos/data=!4m2!3m1!1s0x882b49a3d278eac9:0xc3bcccff7100ad4b,,
IKEA Etobicoke,"the etobicoke ikea. look for a discount on lunch meals, can be a fantastic deal! (ETOBICOKE)",https://www.google.com/maps/place/IKEA+Etobicoke/data=!4m2!3m1!1s0x882b37def6478551:0xa862d0c7c80d1d21,,
Pho Ngoc Yen Restaurant - Mississauga,one of two pho ngoc yen's in the area. both are roughly the same distance from the two TDSB ITS west buildings. great pho and big portions!! (ETOBICOKE),https://www.google.com/maps/place/Pho+Ngoc+Yen+Restaurant+-+Mississauga/data=!4m2!3m1!1s0x882b38b169a23225:0xd9a13764d0946122,,
PHO NGOC YEN 2 Etobicoke,the other pho ngoc yen location in this area. great pho!!! (ETOBICOKE),https://www.google.com/maps/place/PHO+NGOC+YEN+2+Etobicoke/data=!4m2!3m1!1s0x882b378203fe70df:0x97f73102a280e2d5,,
Great Fountain Fast Food,"hawker style chinese food in a little mall by sheppard and midland. crazy amount of options, but not all are great... but still amazing variety and inexpensive (SCARBOROUGH)",https://www.google.com/maps/place/Great+Fountain+Fast+Food/data=!4m2!3m1!1s0x89d4d1712763e49d:0x9796c499cc658b9e,,
Babu Takeout And Catering,"as a co-op student with the NS team, i frequently used to leave home early to grab breakfast (which i don't even normally eat!) from here. the breakfast combos are all great value and taste great when you get there early in the morning when they are fresh. especially love the medu vada (SCARBOROUGH)",https://www.google.com/maps/place/Babu+Takeout+And+Catering/data=!4m2!3m1!1s0x89d4d11b9b887125:0xd4a363714f7f5d64,,
Rancho Relaxo To Go Kipling,"tacos, burritos, and quesadillas. this place sounds very nice, would like to give it a try sometime. they have vegan options as well as some weird options... not my cup of tea but maybe someone else's :p (ETOBICOKE)",https://www.google.com/maps/place/Rancho+Relaxo+To+Go+Kipling/data=!4m2!3m1!1s0x882b376404a16ddf:0x4fcd53fc915e1f93,,
Haroo Korean Restaurant 하루,"i took greg, sham, and andy here. this is a new korean spot, seems family owned and very homey. idk what the other korean spots in the area are like, but i found it to be a little underwhelming compared to other places in korean hotspots (not that anything tasted bad, by any means!!) (ETOBICOKE)",https://www.google.com/maps/place/Haroo+Korean+Restaurant+%ED%95%98%EB%A3%A8/data=!4m2!3m1!1s0x882b3721eedfc4cb:0xc5c5c19ab39f331e,,
Allwyn's Jerk (Etobicoke),"allwyns is a staple across the GTA, but tbh i have actually never had any patties from any location. i suggested we give this spot a go next time we want a snack for the office (ETOBICOKE)",https://www.google.com/maps/place/Allwyn's+Jerk+(Etobicoke)/data=!4m2!3m1!1s0x882b3632a31d85cb:0x8f8c9c70be30e7e8,,
The Elmwood,"i think i'd have to be in a very specific mood for this, but this is a spot known for chicken wings. apparently they are some of the best on this side of the city. (ETOBICOKE)",https://www.google.com/maps/place/The+Elmwood/data=!4m2!3m1!1s0x882b37c3e6d13aa3:0xf1024ee3d2f8eae4,,
